States/Union Territories,All Categories - Classes I-V - Boys,All Categories - Classes I-V - Girls,All Categories - Classes I-V - Total,All Categories - Classes I-VIII - Boys,All Categories - Classes I-VIII - Girls,All Categories - Classes I-VIII - Total,All Categories - Classes I-X - Boys,All Categories - Classes I-X - Girls,All Categories - Classes I-X - Total,Scheduled Caste - Classes I-V - Boys,Scheduled Caste - Classes I-V - Girls,Scheduled Caste - Classes I-V - Total,Scheduled Caste - Classes I-VIII - Boys,Scheduled Caste - Classes I-VIII - Girls,Scheduled Caste - Classes I-VIII - Total,Scheduled Caste - Classes I-X - Boys,Scheduled Caste - Classes I-X - Girls,Scheduled Caste - Classes I-X - Total,Scheduled Tribe - Classes I-V - Boys,Scheduled Tribe - Classes I-V - Girls,Scheduled Tribe - Classes I-V - Total,Scheduled Tribe - Classes I-VIII - Boys,Scheduled Tribe - Classes I-VIII - Girls,Scheduled Tribe - Classes I-VIII - Total,Scheduled Tribe - Classes I-X - Boys,Scheduled Tribe - Classes I-X - Girls,Scheduled Tribe - Classes I-X - Total
Andhra Pradesh,16.03,15.05,15.55,39.97,41.35,40.65,60.12,61.38,60.73,21.1,19.24,20.19,42.58,45.14,43.85,65.52,66.94,66.22,37.22,42.45,39.78,66.47,70.24,68.3,80.86,82.77,81.77
Arunachal Pradesh,41.8,39.71,40.84,44.87,43.31,44.16,63.39,62.43,62.95,100,100,100,100,100,100,100,100,100,43.32,39.36,41.51,48.91,47.59,48.3,66.32,65.9,66.13
Assam,NA,NA,NA,68.21,68.35,68.28,78.47,79.55,78.97,NA,NA,NA,NA,NA,NA,83.98,83.76,83.88,NA,NA,NA,NA,NA,NA,84.47,82.46,83.63
Bihar,47.79,47.2,47.54,60.16,55.41,58.33,74.46,74.41,74.44,50.45,49.48,50.07,72.86,73.5,73.11,85.91,84.79,85.53,30.86,29.24,30.25,66.55,58.63,63.81,81.06,74.25,79.05
Chhattisgarh,26.16,26.91,26.52,37.86,37.19,37.54,56.25,56.06,56.17,29.84,28.2,29.06,40.52,43.73,42.04,64.69,70.39,67.34,37.68,37.87,37.77,52.66,54.03,53.3,70.91,71.18,71.03
Goa,NA,NA,NA,NA,NA,NA,36.2,32.93,34.61,NA,NA,NA,3.61,NA,NA,67.44,58.16,62.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,39.11,3.3,25.87,46.36,40.75,44.29,56.24,62.25,58.84,46.38,47.57,46.94,42.41,56.11,48.83,60.48,70.29,65.05,53.22,51.8,52.58,64.33,66.42,65.28,73.3,74.82,73.99
Haryana,10.51,NA,5.2,20.6,1.5,11.93,36.31,23.77,30.5,NA,NA,NA,9.03,35.85,21.78,47.01,49.88,48.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himachal Pradesh,2.25,3.61,2.9,NA,0.89,NA,17.63,21.93,19.73,NA,14.96,NA,17.76,19.48,18.61,35.76,43.54,39.56,2.31,4.83,3.52,NA,NA,NA,5.44,31.05,18.05
Jammu and Kashmir,1.97,2.41,2.18,28.51,20.94,25.24,42.7,38.01,40.65,NA,NA,NA,NA,NA,NA,51.37,51,51.19,47.75,46.95,47.4,NA,NA,NA,72.81,72.3,72.62
Jharkhand,22.37,18.76,20.7,55.83,65.82,60.25,80.14,82.32,81.1,23.1,19.14,21.38,68.17,70.91,69.31,85.43,85.3,85.39,33.59,31.12,32.47,77.74,79.19,78.39,86.29,86.75,86.47
Karnataka,4.92,3.45,4.21,30.29,30.11,30.2,50.36,49.15,49.79,8.25,5.92,7.14,37.76,44.86,41.27,54.84,57.9,56.33,4.77,6.03,5.38,28.61,32.47,30.47,45.26,51.14,48.13
Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.24,5.29,9.36,NA,NA,NA,8.31,11.64,9.96,38.43,31.55,35.08
Madhya Pradesh,21.02,19.23,20.18,30.89,29.53,30.27,53.59,62.84,57.64,20,16.79,18.49,32.79,34.75,33.65,44.44,63.03,52.5,32.46,24.75,28.88,37.84,40.48,39.03,68.67,76.39,71.95
Maharashtra,19.53,22.93,21.16,25.44,28.64,26.97,41.22,46.48,43.75,20.74,22.96,21.81,26.49,30.8,28.57,38.26,45.55,41.78,32.1,34.31,33.15,46.51,51.66,48.95,65.74,75.07,70.15
Manipur,39.55,45.19,42.31,42.92,44.94,43.9,58.91,57.06,58.03,34.5,36.55,35.47,NA,NA,NA,8.61,4.6,6.58,51.24,53.13,52.15,NA,NA,NA,70.8,72.58,71.66
Meghalaya,52.53,51.05,51.79,70.44,65.9,68.19,78.36,76.15,77.26,66.48,57.14,62.23,79,79.49,79.25,81,87.33,84.14,55.2,51,53.11,80.4,75.33,77.92,79.68,75.68,77.69
Mizoram,31.75,35.22,33.43,46.41,46.79,46.6,70.16,66.45,68.41,95.16,95.92,95.5,NA,NA,NA,52.7,66.67,59.12,31.74,35.3,33.47,NA,13.88,4.82,70.71,66.89,68.91
Nagaland,40.65,40.42,40.54,47.13,47.3,47.22,68.34,66.84,67.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.27,35.77,35.51,39.71,36.33,38.13,69.2,65.08,67.28
Odisha,33.33,32.89,33.12,59.07,53.98,56.92,68.29,65.76,67.18,26.3,24.97,25.65,72.5,67.72,70.56,77.23,76.89,77.08,35.08,35.35,35.21,83.37,83.92,83.61,86.19,85.19,85.78
Punjab,NA,NA,NA,NA,NA,NA,43.16,43.24,43.2,13.17,16.92,14.96,21.33,23.48,22.36,60.93,61.69,61.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajasthan,49.33,52.01,50.57,59.32,57.89,58.77,69.9,74.5,71.69,50,51.54,50.7,60.65,68.73,64.16,71.73,79.8,75.09,50.14,54.55,52.2,62.91,70.63,66.3,68,74.84,70.76
Sikkim,41.97,31.55,36.95,52.99,39.41,46.41,81.99,82.53,82.26,59.29,43.64,52,51.59,46.72,49.23,87.74,85.8,86.87,43.11,31.27,37.36,28.47,NA,14.53,66.41,60.77,63.7
Tamil Nadu,NA,NA,NA,NA,NA,NA,41.44,38.28,39.92,NA,NA,NA,NA,NA,NA,14,8.52,11.31,NA,NA,NA,NA,3.13,1.06,54.75,62.39,58.54
Tripura,24.64,20.07,22.49,49.49,45.53,47.61,71.68,70.33,71.04,11.67,6.02,8.98,33.84,28.04,31.03,63.17,64.19,63.66,33.02,31.88,32.48,62.32,63.29,62.78,77.6,79.92,78.69
Uttar Pradesh,41.18,33.96,37.82,30.64,9.48,22.67,19.7,4.73,14.11,41.64,23.52,34.04,65.69,38.88,56.32,40.21,29.68,36.32,NA,NA,NA,15.11,NA,5.44,NA,NA,NA
Uttarakhand,35.84,31.82,33.9,24.74,27.08,25.91,33.31,39.64,36.46,34.98,33.84,34.42,41.73,49.96,45.82,45.17,69.33,57.67,21.21,10.16,15.99,22.86,35.36,29.33,19.63,37.09,28.45
West Bengal,30.75,28.83,29.81,60.88,57.69,59.33,70.42,73.77,72,22.8,22.4,22.61,60.19,59.33,59.78,77.99,77.32,77.68,50.54,49.21,49.91,77.25,73.54,75.69,88.87,83.55,87.12
Andaman and Nicobar Islands,13.61,10.05,11.89,13.66,16.91,15.22,26.78,26.19,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06,27.35,22.65,21.81,29.51,25.82,28.78,28.27,28.53
Chandigarh,NA,NA,NA,NA,NA,NA,NA,8.67,3.45,NA,NA,NA,20.04,10.57,15.62,57.35,62.89,60.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
