States / Union Territories,All Categories - Classes I-V - Boys,All Categories - Classes I-V - Girls,All Categories - Classes I-V - Total,All Categories - Classes I-VIII - Boys,All Categories - Classes I-VIII - Girls,All Categories - Classes I-VIII - Total,All Categories - Classes I-X - Boys,All Categories - Classes I-X - Girls,All Categories - Classes I-X - Total,Scheduled Caste - Classes I-V - Boys,Scheduled Caste - Classes I-V - Girls,Scheduled Caste - Classes I-V - Total,Scheduled Caste - Classes I-VIII - Boys,Scheduled Caste - Classes I-VIII - Girls,Scheduled Caste - Classes I-VIII - Total,Scheduled Caste - Classes I-X - Boys,Scheduled Caste - Classes I-X - Girls,Scheduled Caste - Classes I-X - Total,Scheduled Tribe - Classes I-V - Boys,Scheduled Tribe - Classes I-V - Girls,Scheduled Tribe - Classes I-V - Total,Scheduled Tribe - Classes I-VIII - Boys,Scheduled Tribe - Classes I-VIII - Girls,Scheduled Tribe - Classes I-VIII - Total,Scheduled Tribe - Classes I-X - Boys,Scheduled Tribe - Classes I-X - Girls,Scheduled Tribe - Classes I-X - Total
Andhra Pradesh,18.09984693,16.73136737,17.43023498,32.96782566,32.73661611,32.8544349,45.84976637,46.60510834,46.22306421,20.21792496,18.97539665,19.60537876,36.08349719,35.61699071,35.85424981,49.69027796,49.67399545,49.68221929,35.5313651,38.21976871,36.84612429,60.52794209,64.52585654,62.48943212,71.62708973,73.77168795,72.6714742
Arunachal Pradesh,43.84305706,42.11245326,43.02872416,51.67073261,49.07753783,50.46462889,62.26446767,61.04510673,61.71011375,100,100,100,100,100,100,100,100,100,44.61055978,42.69770561,43.70611949,54.37459494,48.36080099,51.62214772,63.63636364,63.33849329,63.49949618
Assam,33.16885432,26.41901564,29.85230414,49.75141243,58.20834203,53.97060689,76.82974205,78.05312887,77.39807662,28.81723498,23.38178207,26.1717148,39.39194941,48.77556173,43.99628368,NA,NA,NA,26.84961917,24.50933277,25.68209063,49.68035812,57.14739467,53.39329711,NA,NA,NA
Bihar,39.23442696,30.73383788,35.70721468,58.54490952,57.97789823,58.2904716,64.38212064,58.85541524,62.24826558,40.8959455,35.85475608,38.84165844,64.0214977,58.58179335,61.93091148,79.75014429,79.90400315,79.80870552,31.60005469,19.81251395,27.12242822,59.14422114,47.00557836,54.7869125,72.17437746,68.97073663,71.06561313
Chhattisgarh,29.73178041,32.24560982,30.96078705,47.65992404,48.97136464,48.29486272,58.35391211,57.52063828,57.96123621,42.27796223,47.04283582,44.67978363,50.29761905,46.86433097,48.74733102,57.60137318,60.50760582,58.97235899,38.44350813,42.13001726,40.26119483,45.38904899,49.54087304,47.4141034,63.26259203,62.01652475,62.67645374
Goa,NA,2.415949961,NA,NA,NA,NA,29.33702135,26.86278126,28.1399188,9.831460674,20.92307692,15.12481645,NA,NA,NA,53.41365462,45.95744681,49.79338843,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,36.92972628,6.578073543,25.70345538,44.62612653,49.40068481,46.69383626,61.11790772,52.37349729,57.89346582,47.42006716,42.7154674,45.21602045,47.94178414,58.50752912,52.89166591,60.39322531,69.26243517,64.54829007,50.92207707,44.55615384,48.03445303,69.39735828,71.17977752,70.20586873,79.70299486,75.16085551,77.64267557
Haryana,9.82466237,8.947319314,9.418113166,5.263157895,3.854873068,4.608727043,13.15765466,7.098402942,10.40738748,3.372370901,0.917720993,2.21455458,15.33707865,10.38323248,13.00466576,21.86150154,22.07843805,21.96462135,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himachal Pradesh,3.877469109,3.629725783,3.761264004,NA,NA,NA,15.17048393,17.00015778,16.0494763,6.81007187,7.778191291,7.280524983,6.153511633,10.49134948,8.25833893,32.11508895,32.98688331,32.54386357,0.02739726,NA,NA,NA,NA,NA,0.258918297,4.059579439,2.144927536
Jammu and Kashmir,9.788870296,6.816791771,8.383959749,7.792737658,3.992283008,6.05585315,47.1417825,38.93044902,43.59866867,NA,NA,NA,16.62919243,2.683028286,10.01971414,NA,NA,NA,27.94102269,31.88353048,29.76608351,58.49555061,67.99058547,62.67921495,NA,NA,NA
