States/Union Territories,All Categories - Classes I-V - Boys,All Categories - Classes I-V - Girls,All Categories - Classes I-V - Total,All Categories - Classes I-VIII - Boys,All Categories - Classes I-VIII - Girls,All Categories - Classes I-VIII - Total,All Categories - Classes I-X - Boys,All Categories - Classes I-X - Girls,All Categories - Classes I-X - Total,Scheduled Caste - Classes I-V - Boys,Scheduled Caste - Classes I-V - Girls,Scheduled Caste - Classes I-V - Total,Scheduled Caste - Classes I-VIII - Boys,Scheduled Caste - Classes I-VIII - Girls,Scheduled Caste - Classes I-VIII - Total,Scheduled Caste - Classes I-X - Boys,Scheduled Caste - Classes I-X - Girls,Scheduled Caste - Classes I-X - Total,Scheduled Tribe - Classes I-V - Boys,Scheduled Tribe - Classes I-V - Girls,Scheduled Tribe - Classes I-V - Total,Scheduled Tribe - Classes I-VIII - Boys,Scheduled Tribe - Classes I-VIII - Girls,Scheduled Tribe - Classes I-VIII - Total,Scheduled Tribe - Classes I-X - Boys,Scheduled Tribe - Classes I-X - Girls,Scheduled Tribe - Classes I-X - Total
Andhra Pradesh,16.34,15.24,15.8,40.9,41.68,41.29,52.73,54.02,53.36,19.21,17.69,18.46,43.2,44.36,43.77,57.54,58.77,58.15,34.51,39.64,37.03,64.1,69.36,66.74,75.5,78.07,76.75
Arunachal Pradesh,43.14,39.23,41.35,48.49,45.13,46.96,65.0,64.7,64.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.31,38.14,41.49,53.02,48.09,50.77,66.14,65.21,65.72
Assam,38.99,32.67,35.89,59.94,62.55,61.21,77.41,77.82,77.6,29.42,24.36,26.95,51.77,56.15,53.87,81.67,82.49,82.04,34.63,31.41,33.04,61.78,67.43,64.55,85.61,79.53,83.08
Bihar,43.51,40.97,42.45,64.98,67.33,66.02,71.0,65.58,69.05,50.92,49.7,50.43,77.93,79.12,78.42,81.71,81.99,81.81,8.09,15.64,10.93,40.71,56.95,47.18,65.79,63.26,64.94
Chhattisgarh,40.85,24.94,34.12,38.98,42.43,40.67,62.83,65.8,64.22,37.49,33.18,35.48,42.67,49.93,46.23,68.0,72.81,70.23,38.92,39.53,39.21,49.38,52.93,51.12,72.55,70.32,71.57
Goa,34.23,34.23,34.23,34.23,34.23,34.23,35.85,32.63,34.3,18.46,10.75,14.98,7.58,26.31,16.79,77.89,64.02,71.21,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.23
Gujarat,36.89,6.52,25.66,32.24,48.08,39.7,60.37,64.41,62.14,47.39,42.68,45.18,17.87,35.58,26.23,54.56,64.63,59.29,50.89,44.52,48.0,50.46,58.25,54.21,74.11,74.92,74.48
Haryana,31.55,31.55,31.55,19.59,8.1,14.37,20.17,19.46,19.84,31.55,31.55,31.55,4.87,6.15,5.47,19.55,17.21,18.45,31.55,31.55,31.55,100.0,100.0,100.0,31.55,31.55,31.55
Himachal Pradesh,0.35,1.17,0.74,1.42,3.41,2.38,22.28,18.93,20.65,4.72,5.75,5.22,9.81,12.21,10.98,40.97,40.44,40.71,12.81,12.81,12.81,12.81,12.81,12.81,12.67,12.81,1.39
Jammu and Kashmir,9.79,6.82,8.38,23.75,19.79,21.95,47.16,40.63,44.3,39.49,39.49,39.49,34.89,19.68,27.89,48.99,50.56,49.73,27.94,31.88,29.77,58.02,67.64,62.26,71.61,72.4,71.91
Jharkhand,33.34,28.2,30.92,53.87,50.61,52.37,78.46,74.97,77.01,32.29,23.96,28.56,58.29,56.43,57.47,78.71,76.36,77.75,38.8,30.56,35.09,63.32,59.22,61.48,84.33,82.9,83.7
Karnataka,11.6,10.61,11.12,25.05,26.73,25.86,46.89,46.33,46.62,17.04,15.41,16.26,32.63,37.54,35.02,54.68,58.61,56.63,10.32,22.54,16.67,26.82,31.37,29.03,50.44,50.73,50.58
Kerala,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,8.26,3.15,5.75,17.45,17.45,17.45,27.47,23.6,25.61,27.03,15.01,21.19
Madhya Pradesh,34.13,31.11,32.7,23.73,25.16,24.41,47.26,60.61,53.3,37.06,29.16,33.32,34.36,34.64,34.49,41.91,62.33,50.75,40.81,32.08,36.64,45.47,45.29,45.39,66.44,75.09,70.09
Maharashtra,20.19,22.54,21.31,24.36,27.55,25.88,38.63,42.62,40.54,22.6,23.06,22.82,24.17,27.99,26.01,37.6,43.79,40.59,24.34,23.07,23.75,46.52,51.83,49.05,65.75,74.23,69.73
